median_household_income,city
36875,Wilmington Village
36810,Benld
36806,Hull
36803,Mattoon
36797,Windsor
36786,Donnellson
36786,Ferris
36750,Metcalf
36750,Watson
36726,Tilden
36667,Hamburg
36667,Vermont
36613,Olney
36563,Ashley
36559,Pittsfield
36480,Henning
36458,Enfield
36429,Beaverville
36429,Cissna Park
36406,Elkville
36397,Depue
36352,Marseilles
36346,Bondville
36304,Jonesboro
36291,Monmouth
36250,Freeport
36250,White City
36230,Abingdon
36224,Paris
36220,Sullivan
36154,Orient
36141,Norris City
36111,Parkersburg
3676,Alton
3634,Tamaroa
35938,Winslow
35903,Cambria
35833,East Cape Girardeau
35833,Griggsville
35833,Louisville
35819,Bushnell
35811,Colchester
35726,Watseka
35694,Allenville
35655,Metropolis
35647,Tampico
35636,Mason City
35581,Danville
35515,Ridgway
35500,Mineral
35432,Harrisburg
35417,Mcclure
35375,New Salem
35360,Savanna
35313,Time
35179,Cypress
35156,Logan
35104,Olive Branch
3589,East Carondelet
350,Ellisville
350,Kane
350,Spillertown
34886,Georgetown
34875,Carbon Cliff
34834,Rock Falls
34824,Fairfield
34750,Coalton
34709,Lake Of The Woods
34688,Manlius
34625,Astoria
34583,Hume
34500,Barry
34464,Bush
34375,Brussels
34375,Sailor Springs
34369,Caseyville
34286,Curran
34228,White Hall
34211,Milford
34205,De Land
34205,West York
34185,Benton
34167,Lima
34167,Zeigler
3463,Lenzburg
3455,Markham
3428,Roberts
33958,Cobden
33943,Mount Vernon
33917,South Chicago Heights
33906,Clayton
33906,New Canton
33806,Meredosia
33750,Basco
33750,Broadwell
33750,Buncombe
33750,Calhoun
33750,Hillview
33750,La Prairie
33692,West Frankfort
33500,Elizabeth
33438,Rankin
33369,Galesburg
33250,Noble
33214,Longview
33162,Percy
33125,Bone Gap
3336,Lake Ka-Ho
3311,Valier
32955,Fairmont City
32917,Ina
32794,Grand Tower
32708,Cisne
32708,Saint Elmo
32500,Butler
32500,Keithsburg
32450,Roodhouse
32422,Coffeen
32330,Hurst
32321,Dover
32321,Kansas
32270,Christopher
32265,Kankakee
32253,Centralia
32250,Liverpool
32188,Bowen
32159,Harvel
32143,Johnsonville
3283,Kinmundy
3283,Standard City
3231,Kinsman
3214,De Witt
320,Bulpitt
31964,Willow Hill
31875,Keenes
31875,Lomax
31875,Panama
31834,Havana
31750,Garrett
31719,Apple River
31705,Cowden
31705,Grayville
31667,Annapolis
31667,Iola
31635,Waggoner
31591,Lafayette
31571,Royalton
31563,Fillmore
31500,Buckner
31429,Palmyra
31286,Westervelt
31250,Bellmont
31250,East Brooklyn
31250,Gilson
31250,Gorham
31250,Kampsville
31250,Kilbourne
31250,Olmsted
31250,Vermilion
31183,Pana
31160,Murphysboro
31154,Keyesport
3171,Bentley
3171,Plymouth
3142,Johnston City
30938,Clay City
30938,Joppa
30834,Urbana
30833,Pierron
30833,Pulaski
30781,Mound City
30625,Alsey
30500,Sumner
30474,Lawrenceville
30394,Cahokia
30391,Sandoval
30278,Saint Francisville
30208,Sun River Terrace
300,Colp
300,Otterville
29931,Alto Pass
29926,Greenup
29896,Dahlgren
29821,Crossville
29792,Alma
29750,Leaf River
29375,Nebo
29350,Chemung
2963,Herrick
28935,Wilsonville
28846,Phoenix
28824,West City
28750,Dana
28750,Thebes
28750,Vernon
28750,Walnut Hill
28750,Xenia
28654,Perry
28594,Elizabethtown
28500,Du Quoin
28500,Nason
28472,Oak Grove
28125,Nora
27750,Baylis
27667,Chatsworth
27500,Bath
27500,Broughton
27500,Pearl
27417,Bardolph
27404,Willisville
27321,Seymour
27292,Elvaston
27173,Wamac
277,Macomb
26844,Charleston
26629,Vienna
26520,Shawneetown
26250,Golconda
26250,Jewett
25714,Mcleansboro
25401,Washington Park
2574,Harvey
2563,Carrier Mills
250,Ripley
24786,Eldorado
24750,Ullin
24176,Beason
23906,Sorento
23214,Old Shawneetown
2399,Robbins
22743,Ford Heights
22500,Eddyville
21875,Belknap
21548,Mounds
21250,Bingham
21250,Cave In Rock
21250,Fidelity
20903,Madison
20720,Venice
20625,Garden Prairie
20583,Tamms
20313,Golden Gate
200,Simpson
19856,East Saint Louis
19632,Dowell
19600,Rosiclare
18929,Florence
18221,Alorton
17677,Carbondale
17396,Centreville
16964,Goofy Ridge
16727,Cairo
16618,Hopkins Park
15486,Dix
14583,Phillipstown
14432,Brooklyn
